Datum;SommerferienBaW
2013-07-25;1
2013-07-26;1
2013-07-27;1
2013-07-28;1
2013-07-29;1
2013-07-30;1
2013-07-31;1
2013-08-01;1
2013-08-02;1
2013-08-03;1
2013-08-04;1
2013-08-05;1
2013-08-06;1
2013-08-07;1
2013-08-08;1
2013-08-09;1
2013-08-10;1
2013-08-11;1
2013-08-12;1
2013-08-13;1
2013-08-14;1
2013-08-15;1
2013-08-16;1
2013-08-17;1
2013-08-18;1
2013-08-19;1
2013-08-20;1
2013-08-21;1
2013-08-22;1
2013-08-23;1
2013-08-24;1
2013-08-25;1
2013-08-26;1
2013-08-27;1
2013-08-28;1
2013-08-29;1
2013-08-30;1
2013-08-31;1
2013-09-01;1
2013-09-02;1
2013-09-03;1
2013-09-04;1
2013-09-05;1
2013-09-06;1
2013-09-07;1
2014-07-31;1
2014-08-01;1
2014-08-02;1
2014-08-03;1
2014-08-04;1
2014-08-05;1
2014-08-06;1
2014-08-07;1
2014-08-08;1
2014-08-09;1
2014-08-10;1
2014-08-11;1
2014-08-12;1
2014-08-13;1
2014-08-14;1
2014-08-15;1
2014-08-16;1
2014-08-17;1
2014-08-18;1
2014-08-19;1
2014-08-20;1
2014-08-21;1
2014-08-22;1
2014-08-23;1
2014-08-24;1
2014-08-25;1
2014-08-26;1
2014-08-27;1
2014-08-28;1
2014-08-29;1
2014-08-30;1
2014-08-31;1
2014-09-01;1
2014-09-02;1
2014-09-03;1
2014-09-04;1
2014-09-05;1
2014-09-06;1
2014-09-07;1
2014-09-08;1
2014-09-09;1
2014-09-10;1
2014-09-11;1
2014-09-12;1
2014-09-13;1
2015-07-30;1
2015-07-31;1
2015-08-01;1
2015-08-02;1
2015-08-03;1
2015-08-04;1
2015-08-05;1
2015-08-06;1
2015-08-07;1
2015-08-08;1
2015-08-09;1
2015-08-10;1
2015-08-11;1
2015-08-12;1
2015-08-13;1
2015-08-14;1
2015-08-15;1
2015-08-16;1
2015-08-17;1
2015-08-18;1
2015-08-19;1
2015-08-20;1
2015-08-21;1
2015-08-22;1
2015-08-23;1
2015-08-24;1
2015-08-25;1
2015-08-26;1
2015-08-27;1
2015-08-28;1
2015-08-29;1
2015-08-30;1
2015-08-31;1
2015-09-01;1
2015-09-02;1
2015-09-03;1
2015-09-04;1
2015-09-05;1
2015-09-06;1
2015-09-07;1
2015-09-08;1
2015-09-09;1
2015-09-10;1
2015-09-11;1
2015-09-12;1
2016-07-28;1
2016-07-29;1
2016-07-30;1
2016-07-31;1
2016-08-01;1
2016-08-02;1
2016-08-03;1
2016-08-04;1
2016-08-05;1
2016-08-06;1
2016-08-07;1
2016-08-08;1
2016-08-09;1
2016-08-10;1
2016-08-11;1
2016-08-12;1
2016-08-13;1
2016-08-14;1
2016-08-15;1
2016-08-16;1
2016-08-17;1
2016-08-18;1
2016-08-19;1
2016-08-20;1
2016-08-21;1
2016-08-22;1
2016-08-23;1
2016-08-24;1
2016-08-25;1
2016-08-26;1
2016-08-27;1
2016-08-28;1
2016-08-29;1
2016-08-30;1
2016-08-31;1
2016-09-01;1
2016-09-02;1
2016-09-03;1
2016-09-04;1
2016-09-05;1
2016-09-06;1
2016-09-07;1
2016-09-08;1
2016-09-09;1
2016-09-10;1
2017-07-27;1
2017-07-28;1
2017-07-29;1
2017-07-30;1
2017-07-31;1
2017-08-01;1
2017-08-02;1
2017-08-03;1
2017-08-04;1
2017-08-05;1
2017-08-06;1
2017-08-07;1
2017-08-08;1
2017-08-09;1
2017-08-10;1
2017-08-11;1
2017-08-12;1
2017-08-13;1
2017-08-14;1
2017-08-15;1
2017-08-16;1
2017-08-17;1
2017-08-18;1
2017-08-19;1
2017-08-20;1
2017-08-21;1
2017-08-22;1
2017-08-23;1
2017-08-24;1
2017-08-25;1
2017-08-26;1
2017-08-27;1
2017-08-28;1
2017-08-29;1
2017-08-30;1
2017-08-31;1
2017-09-01;1
2017-09-02;1
2017-09-03;1
2017-09-04;1
2017-09-05;1
2017-09-06;1
2017-09-07;1
2017-09-08;1
2017-09-09;1
2018-07-26;1
2018-07-27;1
2018-07-28;1
2018-07-29;1
2018-07-30;1
2018-07-31;1
2018-08-01;1
2018-08-02;1
2018-08-03;1
2018-08-04;1
2018-08-05;1
2018-08-06;1
2018-08-07;1
2018-08-08;1
2018-08-09;1
2018-08-10;1
2018-08-11;1
2018-08-12;1
2018-08-13;1
2018-08-14;1
2018-08-15;1
2018-08-16;1
2018-08-17;1
2018-08-18;1
2018-08-19;1
2018-08-20;1
2018-08-21;1
2018-08-22;1
2018-08-23;1
2018-08-24;1
2018-08-25;1
2018-08-26;1
2018-08-27;1
2018-08-28;1
2018-08-29;1
2018-08-30;1
2018-08-31;1
2018-09-01;1
2018-09-02;1
2018-09-03;1
2018-09-04;1
2018-09-05;1
2018-09-06;1
2018-09-07;1
2018-09-08;1
2019-07-29;1
2019-07-30;1
2019-07-31;1
2019-08-01;1
2019-08-02;1
2019-08-03;1
2019-08-04;1
2019-08-05;1
2019-08-06;1
2019-08-07;1
2019-08-08;1
2019-08-09;1
2019-08-10;1
2019-08-11;1
2019-08-12;1
2019-08-13;1
2019-08-14;1
2019-08-15;1
2019-08-16;1
2019-08-17;1
2019-08-18;1
2019-08-19;1
2019-08-20;1
2019-08-21;1
2019-08-22;1
2019-08-23;1
2019-08-24;1
2019-08-25;1
2019-08-26;1
2019-08-27;1
2019-08-28;1
2019-08-29;1
2019-08-30;1
2019-08-31;1
2019-09-01;1
2019-09-02;1
2019-09-03;1
2019-09-04;1
2019-09-05;1
2019-09-06;1
2019-09-07;1
2019-09-08;1
2019-09-09;1
2019-09-10;1
